Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles),Configuration Direction,Expected Average Speed En Route (mph),Expected Average Acceleration En Route
3889,NEC,Trenton,Weekday,PM,12,Semi-Local,89,58.1,W,39.16853932584269,4.317341244792324
3289,NJCL,Long Branch,Weekday,PM,25,Local,98,53.9,W,32.99999999999999,3.303367346938775
3737,NEC,Jersey Avenue,Weekday,PM,12,Local,72,34.4,W,28.66666666666666,3.905833333333333
3891,NEC,Trenton,Weekday,PM,12,Semi-Local,91,58.1,W,38.30769230769231,4.129653423499579
3293,NJCL,Long Branch-BH,Weekday,PM,26,Local,150,75.1,R,30.04,1.964616
3893,NEC,Trenton,Weekday,PM,12,Semi-Local,89,58.1,R,39.16853932584269,4.317341244792324
3895,NEC,Trenton,Weekday,PM,15,Local,100,58.1,R,34.86,3.419766000000001
3297,NJCL,Long Branch-BH,Weekday,PM,25,Local,146,75.1,W,30.86301369863013,2.073740851942203
3201,NJCL,Long Branch,Weekday,Late Night,17,Local,103,53.9,W,31.39805825242718,2.990436421905929
3897,NEC,Trenton,Weekday,Late Night,15,Local,99,58.1,R,35.21212121212121,3.489201101928375
3205,NJCL,Long Branch,Weekday,Late Night,16,Local,102,53.9,W,31.70588235294118,3.049359861591696
3805,NEC,Trenton,Weekday,Late Night,11,Local,104,58.1,W,33.51923076923077,3.161765902366864
7813,NEC,Trenton,Weekend/Holiday,AM,14,Local,95,58.1,W,36.69473684210526,3.789214404432133
7217,NJCL,Long Branch,Weekend/Holiday,AM,17,Local,99,53.9,R,32.66666666666666,3.236969696969697
7817,NEC,Trenton,Weekend/Holiday,AM,13,Local,93,58.1,R,37.48387096774194,3.953943808532778
7221,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,147,75.1,R,30.65306122448979,2.045622657226156
7821,NEC,Trenton,Weekend/Holiday,AM,13,Local,93,58.1,W,37.48387096774194,3.953943808532778
7225,NJCL,Long Branch,Weekend/Holiday,AM,16,Local,97,53.9,R,33.34020618556701,3.371829099798066
7625,NJCL,Rahway,Weekend/Holiday,AM,7,Local,42,20.7,R,29.57142857142857,6.907040816326531
7825,NEC,Trenton,Weekend/Holiday,AM,13,Local,94,58.1,R,37.08510638297872,3.870264825712992
7229,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,148,75.1,W,30.44594594594594,2.018072498173849
7629,NJCL,Rahway,Weekend/Holiday,AM,7,Local,41,20.7,W,30.29268292682927,7.248078524687687
7829,NEC,Trenton,Weekend/Holiday,AM,13,Local,94,58.1,W,37.08510638297872,3.870264825712992
7233,NJCL,Long Branch,Weekend/Holiday,AM,17,Local,100,53.9,W,32.34,3.172554
7833,NEC,Trenton,Weekend/Holiday,AM,13,Local,94,58.1,W,37.08510638297872,3.870264825712992
7237,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,148,75.1,W,30.44594594594594,2.018072498173849
7637,NJCL,Rahway,Weekend/Holiday,AM,7,Local,41,20.7,R,30.29268292682927,7.248078524687687
7837,NEC,Trenton,Weekend/Holiday,AM,13,Local,94,58.1,R,37.08510638297872,3.870264825712992
7839,NEC,Rahway,Weekend/Holiday,PM,6,Local,36,20.7,R,34.5,9.401250000000001
7241,NJCL,Long Branch,Weekend/Holiday,PM,13,Semi-Local,91,53.9,W,35.53846153846154,3.83112426035503
7841,NEC,Trenton,Weekend/Holiday,PM,14,Local,98,58,R,35.51020408163265,3.554643898375677
8841,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,88,58.1,W,39.61363636363637,4.4160201446281
7245,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,149,75.1,W,30.24161073825503,1.991075176793838
7845,NEC,Trenton,Weekend/Holiday,PM,14,Local,94,58.1,W,37.08510638297872,3.870264825712992
7847,NEC,Trenton,Weekend/Holiday,PM,10,Express,96,58.1,R,36.3125,3.71068359375
7249,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,99,53.9,R,32.66666666666666,3.236969696969697
7849,NEC,Trenton,Weekend/Holiday,PM,14,Local,94,58.1,W,37.08510638297872,3.870264825712992
7851,NEC,Trenton,Weekend/Holiday,PM,10,Express,88,58.1,W,39.61363636363637,4.4160201446281
7253,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,149,75.1,W,30.24161073825503,1.991075176793838
7853,NEC,Trenton,Weekend/Holiday,PM,14,Local,93,58.1,W,37.48387096774194,3.953943808532778
7855,NEC,Trenton,Weekend/Holiday,PM,10,Express,90,58.1,R,38.73333333333333,4.221933333333334
7657,NJCL,Rahway,Weekend/Holiday,PM,7,Local,43,20.7,R,28.88372093023256,6.589518658734452
7257,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,99,53.9,R,32.66666666666666,3.236969696969697
7857,NEC,Trenton,Weekend/Holiday,PM,13,Local,93,58.1,R,37.48387096774194,3.953943808532778
8325,NJCL,Bay Head,Weekend/Holiday Extra,PM,22,Express,130,75.1,W,34.66153846153846,2.615613017751479
7859,NEC,Trenton,Weekend/Holiday,PM,10,Express,91,58.1,W,38.30769230769231,4.129653423499579
7661,NJCL,Rahway,Weekend/Holiday,PM,6,Local,39,20.7,R,31.84615384615385,8.0105325443787
7261,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,149,75.1,W,30.24161073825503,1.991075176793838
7861,NEC,Trenton,Weekend/Holiday,PM,13,Local,93,58.1,R,37.48387096774194,3.953943808532778
8861,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,80,58.1,R,43.575,5.343384375
7863,NEC,Trenton,Weekend/Holiday,PM,9,Express,83,58.1,R,42.00000000000001,4.964096385542169
7665,NJCL,Rahway,Weekend/Holiday,PM,6,Local,39,20.7,W,31.84615384615385,8.0105325443787
7265,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,149,75.1,R,30.24161073825503,1.991075176793838
7865,NEC,Trenton,Weekend/Holiday,PM,13,Local,93,58.1,R,37.48387096774194,3.953943808532778
8865,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,87,58.1,R,40.06896551724138,4.518121284185494
7867,NEC,Trenton,Weekend/Holiday,PM,10,Express,85,58.1,R,41.01176470588236,4.733240138408305
7269,NJCL,Long Branch,Weekend/Holiday,PM,17,Local,100,53.9,W,32.34,3.172554
7869,NEC,Trenton,Weekend/Holiday,PM,13,Local,94,58.1,W,37.08510638297872,3.870264825712992
7673,NJCL,Rahway,Weekend/Holiday,PM,6,Local,39,20.7,R,31.84615384615385,8.0105325443787
7871,NEC,Trenton,Weekend/Holiday,PM,10,Express,87,58.1,R,40.06896551724138,4.518121284185494
7273,NJCL,Long Branch-BH,Weekend/Holiday,PM,23,Local,140,75.1,R,32.18571428571428,2.255298979591837
7873,NEC,Trenton,Weekend/Holiday,PM,13,Local,93,58.1,R,37.48387096774194,3.953943808532778
7875,NEC,Trenton,Weekend/Holiday,PM,9,Express,85,58.1,W,41.01176470588236,4.733240138408305
7277,NJCL,Long Branch-BH,Weekend/Holiday,PM,24,Local,142,75.1,W,31.73239436619718,2.192216822059115
7877,NEC,Trenton,Weekend/Holiday,PM,14,Local,94,58.1,W,37.08510638297872,3.870264825712992
7879,NEC,Trenton,Weekend/Holiday,PM,9,Express,83,58.1,W,42.00000000000001,4.964096385542169
7281,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,97,53.9,W,33.34020618556701,3.371829099798066
7881,NEC,Trenton,Weekend/Holiday,PM,14,Local,94,58.1,W,37.08510638297872,3.870264825712992
7883,NEC,Trenton,Weekend/Holiday,PM,9,Express,83,58.1,R,42.00000000000001,4.964096385542169
7285,NJCL,Long Branch-BH,Weekend/Holiday,PM,24,Local,142,75.1,W,31.73239436619718,2.192216822059115
7885,NEC,Trenton,Weekend/Holiday,PM,14,Local,100,58.1,W,34.86,3.419766000000001
7201,NJCL,Long Branch,Weekend/Holiday,Late Night,17,Local,103,53.9,W,31.39805825242718,2.990436421905929
7887,NEC,Trenton,Weekend/Holiday,Late Night,15,Local,99,58.1,W,35.21212121212121,3.489201101928375
7801,NEC,Trenton,Weekend/Holiday,Late Night,14,Local,99,58.1,W,35.21212121212121,3.489201101928375
7205,NJCL,Long Branch-BH,Weekend/Holiday,Late Night,25,Local,147,75.1,W,30.65306122448979,2.045622657226156
7805,NEC,Trenton,Weekend/Holiday,Late Night,15,Local,104,58.1,R,33.51923076923077,3.161765902366864
5121,RVL,Raritan,Weekday,AM,14,Local,87,39.1,R,26.96551724137931,3.040594530321047
